"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_178",0.69687666762828,-0.361146831327325,178
"TT_179",0.201465722113718,-1.60213602564592,179
"TT_180",0.251713906268681,-1.37946212898811,180
"TT_181",0.182023376438393,-1.70362015818411,181
"TT_182",0.326789369397464,-1.11843944590891,182
"TT_183",0.117768063567994,-2.13903815175351,183
"TT_184",0.10014303754462,-2.30115573956034,184
"TT_185",0.0941311451198214,-2.3630663081956,185
"TT_186",0.154805079789907,-1.86558850318464,186
"TT_187",0.192017356726045,-1.65016951142534,187
"TT_188",0.207990420383389,-1.57026325619051,188
"TT_189",0.102399557552516,-2.27887288716228,189
"TT_190",0.227267862442351,-1.48162594640697,190
"TT_191",0.154990228314119,-1.86439320718491,191
"TT_192",0.0943506603419774,-2.36073700833698,192
"TT_193",0.258999691167262,-1.3509284096877,193
"TT_194",0.174055568223975,-1.74838067314234,194
"TT_195",0.106690829009254,-2.23782007554694,195
"TT_196",0.0915042499991824,-2.39136985970084,196
"TT_197",0.0845558966009607,-2.47034246507631,197
"TT_198",0.126915035968345,-2.06423742453261,198
"TT_199",0.469756187004618,-0.755541469929915,199
"TT_200",0.213334012761738,-1.54489620648095,200
"TT_201",0.128573434958309,-2.05125505960361,201
"TT_202",0.105210212486113,-2.25179490652599,202
"TT_203",0.0940966085535788,-2.36343327391618,203
"TT_204",0.08757866657404,-2.43521784295841,204
"TT_205",0.0832853970200046,-2.48548205105951,205
"TT_206",0.0802381132300265,-2.52275664968734,206
"TT_207",0.0779589340060557,-2.55157307803739,207
"TT_208",0.0761867677963293,-2.57456748233542,208
"TT_209",0.0747669176341535,-2.59337976945357,209
"TT_210",0.0736019073801794,-2.60908433809154,210
"TT_211",0.308416698579508,-1.17630349291085,211
"TT_212",0.102126554851836,-2.28154250093049,212
"TT_213",0.0841176719584972,-2.47553860377434,213
"TT_214",0.0768697247516771,-2.56564317632639,214
"TT_215",0.971971968881359,-0.0284283135369631,215
"TT_216",0.660608131812713,-0.41459445636353,216
"TT_217",0.218233576499723,-1.52218933795429,217
"TT_218",0.152655424999241,-1.87957202162343,218
"TT_219",0.126093909834892,-2.07072833349088,219
"TT_220",0.231213931546615,-1.46441188644476,220
"TT_221",0.307744058305442,-1.17848682099123,221
"TT_222",0.165326051036829,-1.79983568804359,222
"TT_223",0.124505441239212,-2.08340585929977,223
"TT_224",0.110823225302005,-2.199818911996,224
"TT_225",0.103289414230544,-2.27022038409455,225
"TT_226",0.0982985502588943,-2.31974600006703,226
"TT_227",0.0946575303224216,-2.35748984482514,227
"TT_228",0.0918406676782936,-2.38770007642104,228
"TT_229",0.0895738377660446,-2.41269199085666,229
"TT_230",0.0876972412750197,-2.43386483648394,230
"TT_231",0.0861100798848354,-2.45212880256766,231
"TT_232",0.0847449442363411,-2.46810918952943,232
"TT_233",0.0835546838582967,-2.48225396496992,233
"TT_234",0.0825051273524958,-2.49489483784549,234
"TT_235",0.217357772625877,-1.52621056131314,235
"TT_236",0.220645857797003,-1.51119631617334,236
"TT_237",0.116127191729661,-2.15306920814326,237
"TT_238",0.246520718678456,-1.40030923759762,238
"TT_239",0.143639811622322,-1.94044642108208,239
